id,commonName,version,catalog.shortName,GPS,reference,jsonurl,mass_1_source,mass_1_source_lower,mass_1_source_upper,mass_2_source,mass_2_source_lower,mass_2_source_upper,network_matched_filter_snr,network_matched_filter_snr_lower,network_matched_filter_snr_upper,luminosity_distance,luminosity_distance_lower,luminosity_distance_upper,chi_eff,chi_eff_lower,chi_eff_upper,total_mass_source,total_mass_source_lower,total_mass_source_upper,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_upper,chirp_mass,chirp_mass_lower,chirp_mass_upper,redshift,redshift_lower,redshift_upper,far,far_lower,far_upper,p_astro,p_astro_lower,p_astro_upper,final_mass_source,final_mass_source_lower,final_mass_source_upper
GW200208_222617-v1,GW200208_222617,1,GWTC-3-confident,1265235996,/GWTC-3/,https://www.gw-openscience.org/eventapi/json/GWTC-3-confident/GW200208_222617/v1,51,-30,104,12.3,-5.7,9,7.4,-1.2,1.4,4100,-1900,4400,0.45,-0.44,0.43,63,-25,100,19.6,-5.1,10.7,,,,0.66,-0.28,0.54,4.8,,,0.70006,,,61,-25,100
GW200209_085452-v1,GW200209_085452,1,GWTC-3-confident,1265273710,/GWTC-3/,https://www.gw-openscience.org/eventapi/json/GWTC-3-confident/GW200209_085452/v1,35.6,-6.8,10.5,27.1,-7.8,7.8,9.6,-0.5,0.4,3400,-1800,1900,-0.12,-0.3,0.24,62.6,-9.4,13.9,26.7,-4.2,6,,,,0.57,-0.26,0.25,0.046,,,0.95396,,,59.9,-8.9,13.1
GW200210_092254-v1,GW200210_092254,1,GWTC-3-confident,1265361793,/GWTC-3/,https://www.gw-openscience.org/eventapi/json/GWTC-3-confident/GW200210_092254/v1,24.1,-4.6,7.5,2.83,-0.42,0.47,8.4,-0.7,0.5,940,-340,430,0.02,-0.21,0.22,27,-4.3,7.1,6.56,-0.4,0.38,,,,0.19,-0.06,0.08,1.2,,,0.42219,,,26.7,-4.3,7.2
GW200216_220804-v1,GW200216_220804,1,GWTC-3-confident,1265926103,/GWTC-3/,https://www.gw-openscience.org/eventapi/json/GWTC-3-confident/GW200216_220804/v1,51,-13,22,30,-16,14,8.1,-0.5,0.4,3800,-2000,3000,0.1,-0.36,0.34,81,-14,20,32.9,-8.5,9.3,,,,0.63,-0.29,0.37,0.35,,,0.77277,,,78,-13,19
GW200219_094415-v1,GW200219_094415,1,GWTC-3-confident,1266140673,/GWTC-3/,https://www.gw-openscience.org/eventapi/json/GWTC-3-confident/GW200219_094415/v1,37.5,-6.9,10.1,27.9,-8.4,7.4,10.7,-0.5,0.3,3400,-1500,1700,-0.08,-0.29,0.23,65,-8.2,12.6,27.6,-3.8,5.6,,,,0.57,-0.22,0.22,0.00099,,,0.99,,,62.2,-7.8,11.7
GW200220_061928-v1,GW200220_061928,1,GWTC-3-confident,1266214787,/GWTC-3/,https://www.gw-openscience.org/eventapi/json/GWTC-3-confident/GW200220_061928/v1,87,-23,40,61,-25,26,7.2,-0.7,0.4,6000,-3100,4800,0.06,-0.38,0.4,148,-33,55,62,-15,23,,,,0.9,-0.4,0.55,6.8,,,0.62376,,,141,-31,51
GW200220_124850-v1,GW200220_124850,1,GWTC-3-confident,1266238148,/GWTC-3/,https://www.gw-openscience.org/eventapi/json/GWTC-3-confident/GW200220_124850/v1,38.9,-8.6,14.1,27.9,-9,9.2,8.5,-0.5,0.3,4000,-2200,2800,-0.07,-0.33,0.27,67,-12,17,28.2,-5.1,7.3,,,,0.66,-0.31,0.36,30,,,0.20309,,,64,-11,16
GW200224_222234-v1,GW200224_222234,1,GWTC-3-confident,1266618172,/GWTC-3/,https://www.gw-openscience.org/eventapi/json/GWTC-3-confident/GW200224_222234/v1,40,-4.5,6.9,32.5,-7.2,5,20,-0.2,0.2,1710,-640,490,0.1,-0.15,0.15,72.2,-5.1,7.2,31.1,-2.6,3.2,,,,0.32,-0.11,0.08,1.00E-05,,,0.99,,,68.6,-4.7,6.6
GW200225_060421-v1,GW200225_060421,1,GWTC-3-confident,1266645879,/GWTC-3/,https://www.gw-openscience.org/eventapi/json/GWTC-3-confident/GW200225_060421/v1,19.3,-3,5,14,-3.5,2.8,12.5,-0.4,0.3,1150,-530,510,-0.12,-0.28,0.17,33.5,-3,3.6,14.2,-1.4,1.5,,,,0.22,-0.1,0.09,1.10E-05,,,0.99,,,32.1,-2.8,3.5
GW200302_015811-v1,GW200302_015811,1,GWTC-3-confident,1267149510,/GWTC-3/,https://www.gw-openscience.org/eventapi/json/GWTC-3-confident/GW200302_015811/v1,37.8,-8.5,8.7,20,-5.7,8.1,10.8,-0.4,0.3,1480,-700,1020,0.01,-0.26,0.25,57.8,-6.9,9.6,23.4,-3,4.7,,,,0.28,-0.12,0.16,0.11,,,0.90643,,,55.5,-6.6,8.9
GW200306_093714-v1,GW200306_093714,1,GWTC-3-confident,1267522652,/GWTC-3/,https://www.gw-openscience.org/eventapi/json/GWTC-3-confident/GW200306_093714/v1,28.3,-7.7,17.1,14.8,-6.4,6.5,7.8,-0.6,0.4,2100,-1100,1700,0.32,-0.46,0.28,43.9,-7.5,11.8,17.5,-3,3.5,,,,0.38,-0.18,0.24,24,,,0.24004,,,41.7,-6.9,12.3
GW200308_173609-v1,GW200308_173609,1,GWTC-3-confident,1267724188,/GWTC-3/,https://www.gw-openscience.org/eventapi/json/GWTC-3-confident/GW200308_173609/v1,36.4,-9.6,11.2,13.8,-3.3,7.2,7.1,-0.5,0.5,5400,-2600,2700,0.65,-0.21,0.17,50.6,-8.5,10.9,19,-2.8,4.8,,,,0.83,-0.35,0.32,2.4,,,0.8566,,,47.4,-7.7,11.1
GW200311_115853-v1,GW200311_115853,1,GWTC-3-confident,1267963151,/GWTC-3/,https://www.gw-openscience.org/eventapi/json/GWTC-3-confident/GW200311_115853/v1,34.2,-3.8,6.4,27.7,-5.9,4.1,17.8,-0.2,0.2,1170,-400,280,-0.02,-0.2,0.16,61.9,-4.2,5.3,26.6,-2,2.4,,,,0.23,-0.07,0.05,1.00E-05,,,0.99,,,59,-3.9,4.8
GW200316_215756-v1,GW200316_215756,1,GWTC-3-confident,1268431094,/GWTC-3/,https://www.gw-openscience.org/eventapi/json/GWTC-3-confident/GW200316_215756/v1,13.1,-2.9,10.2,7.8,-2.9,1.9,10.3,-0.7,0.4,1120,-440,470,0.13,-0.1,0.27,21.2,-2,7.2,8.75,-0.55,0.62,,,,0.22,-0.08,0.08,1.00E-05,,,0.99,,,20.2,-1.9,7.4
GW200322_091133-v1,GW200322_091133,1,GWTC-3-confident,1268903511,/GWTC-3/,https://www.gw-openscience.org/eventapi/json/GWTC-3-confident/GW200322_091133/v1,34,-18,48,14,-8.7,16.8,6,-1.2,1.7,3600,-2000,7000,0.24,-0.51,0.45,55,-27,37,15.5,-3.7,15.7,,,,0.6,-0.3,0.84,140,,,0.077572,,,53,-26,38
